"Country","SDG.target","Indc.text","Status","Sector","Climate.response"
"Afghanistan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Better spatial planning for community and production agriculture.","Future","Agriculture","Adaptation"
"Afghanistan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Increasing irrigated agricultural land to 3.14 M-ha, through restoration and development of Afghanistan’s irrigation systems.","Future","Agriculture","Adaptation"
"Afghanistan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","South-south collaboration on low-carbon agriculture, study tours.","Future","Agriculture","Adaptation"
"Algeria","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Composting organic waste and green waste","Future","Agriculture","Mitigation"
"Algeria","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","To integrate the impacts of climate change into sectorial strategies, in particular for agriculture, water management, public health and transport","Future","Agriculture","Adaptation"
"Angola","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","the country intends to promote the use of biofuels, by producing ethanol and sugar, using the experience from Brazil. The objective is to cultivate and harvest 34 thousand hectares of sugarcane in the province of Malange, to process a capacity of 2.25 million tons of raw material per season. The country intends to produce 23 million liters of ethanol and 170 GW of power through co-generation by 2019. The budget is <strong>between 540 million and 1 billion USD</strong>.","Future","Agriculture","Mitigation"
"Angola","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","The objective is to strengthen food security and DRR/M, and increase the resilience of agro-pastoral livelihoods by increasing capacity to manage risks related to natural disasters at the level of communities and local institutions. The expected results are: improved agricultural and livestock production, health and animal nutrition, soil and water management and management of early warning systems","Future","Agriculture","Adaptation"
"Angola","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","The project aims to strengthen the climate resilience of the agropastoral production systems in the key vulnerable areas of Angola of the Central Plateau (Bie, Huambo and Malanje). This includes mainstreaming Climate Change Adaptation into agricultural and environmental sector policies, programmes and practices, building capacity and promoting CCA through soil fertility and sustainable land management (SLM) practices by using the Farmers Field School (FFS) approach.","Future","Agriculture","Adaptation"
"Angola","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","To enhance the capacity of southwestern Angola's smallholder agro-pastoral sector to mitigate the impact of land degradation processes and to rehabilitate degraded lands by mainstreaming SLM technologies into agro-pastoral and agricultural development initiatives.","Future","Agriculture","Adaptation"
"Angola","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","The project will disseminate sustainable land management and adaptation practices in agro-forestry and land ecology in 350 communities","Future","Agriculture","Adaptation"
