Country,Data source,Sector,Gas,Unit,2016,2015,2014,2013,2012,2011
India,CAIT,Agriculture,CH4,MtCO₂e,491.33,486.03,487.7,487.6,484.57,487.62
China,CAIT,Agriculture,CH4,MtCO₂e,363.78,360.71,355.27,354.16,352.9,355.19
Brazil,CAIT,Agriculture,CH4,MtCO₂e,339.93,338.01,333.62,330.38,334.73,334.38
European Union (27),CAIT,Agriculture,CH4,MtCO₂e,219.52,219.22,217.51,215.75,216.05,216.84
United States,CAIT,Agriculture,CH4,MtCO₂e,198.27,191.72,191.42,190.87,193.95,196.42
Pakistan,CAIT,Agriculture,CH4,MtCO₂e,122.7,119.39,116.59,112.97,108.3,106.16
Indonesia,CAIT,Agriculture,CH4,MtCO₂e,109.8,103.87,101.07,98.12,100.41,97.05
Argentina,CAIT,Agriculture,CH4,MtCO₂e,83.87,81.72,82.13,80.99,79.32,76.85
Australia,CAIT,Agriculture,CH4,MtCO₂e,69.09,86.49,91.59,81.27,123.03,122.79
Ethiopia,CAIT,Agriculture,CH4,MtCO₂e,67.32,65.44,63.98,62.03,60.08,58.12
Myanmar,CAIT,Agriculture,CH4,MtCO₂e,59.97,59.13,57.68,56.69,56.07,56.11
Mexico,CAIT,Agriculture,CH4,MtCO₂e,58.56,57.78,56.9,56.32,55.61,57.61
Bangladesh,CAIT,Agriculture,CH4,MtCO₂e,58.37,59.26,59.2,58.94,58.81,58.73
Russia,CAIT,Agriculture,CH4,MtCO₂e,52.52,52.24,53.22,53.56,53.88,53.77
Nigeria,CAIT,Agriculture,CH4,MtCO₂e,51.59,43.57,42.88,41.97,41.31,39.28
Vietnam,CAIT,Agriculture,CH4,MtCO₂e,50.22,50.3,49.79,49.96,49.5,49.51
Philippines,CAIT,Agriculture,CH4,MtCO₂e,48.53,49.23,49.87,49.99,49.6,48.6
Thailand,CAIT,Agriculture,CH4,MtCO₂e,47.1,48.59,52.65,57.35,59.24,59.66
Sudan,CAIT,Agriculture,CH4,MtCO₂e,44.85,44.7,44.16,44.25,44.42,42.81
Chad,CAIT,Agriculture,CH4,MtCO₂e,43.1,40.19,13.51,13.81,14.13,13.96
France,CAIT,Agriculture,CH4,MtCO₂e,42.7,42.97,42.9,42.78,42.63,42.9
Colombia,CAIT,Agriculture,CH4,MtCO₂e,39.36,38.8,38.93,39.62,40.26,43.01
Tanzania,CAIT,Agriculture,CH4,MtCO₂e,36.8,36.62,34.75,33.9,32.5,31.92
Germany,CAIT,Agriculture,CH4,MtCO₂e,33.83,34.26,34.57,34.27,33.98,33.95
Kenya,CAIT,Agriculture,CH4,MtCO₂e,28.96,26.53,26.16,25.82,26.59,26.63
South Sudan,CAIT,Agriculture,CH4,MtCO₂e,28.34,27.74,27.16,26.59,26.9,26.32
New Zealand,CAIT,Agriculture,CH4,MtCO₂e,28.08,28.01,28.84,28.53,28.64,28.12
United Kingdom,CAIT,Agriculture,CH4,MtCO₂e,27.83,27.5,27.35,27.07,26.96,26.93
Venezuela,CAIT,Agriculture,CH4,MtCO₂e,26.67,27.79,28.24,28.27,28.11,24.05
Spain,CAIT,Agriculture,CH4,MtCO₂e,24.04,23.89,23.02,22.32,22.5,22.94
Canada,CAIT,Agriculture,CH4,MtCO₂e,23.8,23.85,24.86,25.19,24.41,24.27
Paraguay,CAIT,Agriculture,CH4,MtCO₂e,21.15,21.47,21.83,20.5,20.12,19.05
Italy,CAIT,Agriculture,CH4,MtCO₂e,20.82,20.49,20.39,20.58,21.11,20.94
Uzbekistan,CAIT,Agriculture,CH4,MtCO₂e,20.71,19.37,18.63,17.84,17.32,16.16
Turkey,CAIT,Agriculture,CH4,MtCO₂e,20.23,20.39,20.11,19.36,17.65,16.11
Mali,CAIT,Agriculture,CH4,MtCO₂e,20.11,18.13,17.64,17.51,17.01,16.67
Uruguay,CAIT,Agriculture,CH4,MtCO₂e,19.65,19.53,19.55,19.25,19.14,19.73
Nepal,CAIT,Agriculture,CH4,MtCO₂e,19.16,19.16,19.33,19.22,19.27,18.89
Angola,CAIT,Agriculture,CH4,MtCO₂e,18.8,18.9,18.06,18.81,18.2,19.06
Bolivia,CAIT,Agriculture,CH4,MtCO₂e,18.71,18.25,17.7,18.22,18.07,17.72
Peru,CAIT,Agriculture,CH4,MtCO₂e,17.89,17.69,17.6,17.7,17.75,17.64
Iran,CAIT,Agriculture,CH4,MtCO₂e,17.51,16.97,16.02,20.9,21.02,20.82
Niger,CAIT,Agriculture,CH4,MtCO₂e,17.51,16.68,16.03,15.29,14.53,13.9
Uganda,CAIT,Agriculture,CH4,MtCO₂e,17.14,15.99,15.33,15.06,15.04,14.17
Cambodia,CAIT,Agriculture,CH4,MtCO₂e,17.09,17,16.99,17.45,17.79,18.34
Somalia,CAIT,Agriculture,CH4,MtCO₂e,16.02,16.3,16.22,16.17,16.13,15.96
South Africa,CAIT,Agriculture,CH4,MtCO₂e,15.91,16.61,17.08,17.13,17.45,17.27
Egypt,CAIT,Agriculture,CH4,MtCO₂e,15.57,15.38,15.99,16.09,16.73,16.11
Ireland,CAIT,Agriculture,CH4,MtCO₂e,15.45,14.83,14.64,14.46,14.23,13.7
Madagascar,CAIT,Agriculture,CH4,MtCO₂e,15.07,14.55,14.9,14.76,16.27,15.83
Mongolia,CAIT,Agriculture,CH4,MtCO₂e,14.98,13.93,12.51,10.88,10.1,9.05
Kazakhstan,CAIT,Agriculture,CH4,MtCO₂e,14.42,15.12,14.22,12.86,13.77,13.96
Japan,CAIT,Agriculture,CH4,MtCO₂e,14.12,14.33,14.83,15.11,15.1,15.19
Poland,CAIT,Agriculture,CH4,MtCO₂e,13.98,14.25,14.18,14.13,14.17,14.38
Burkina Faso,CAIT,Agriculture,CH4,MtCO₂e,13.74,13.03,12.87,12.66,12.4,12.39
Guinea,CAIT,Agriculture,CH4,MtCO₂e,13.33,11.98,11.91,11.66,11.34,10.7
Democratic Republic of the Congo,CAIT,Agriculture,CH4,MtCO₂e,13.21,13.54,12.82,13.07,12.4,12.41
Netherlands,CAIT,Agriculture,CH4,MtCO₂e,13.15,13.07,12.56,12.24,11.94,12.01
Zambia,CAIT,Agriculture,CH4,MtCO₂e,12.53,12.85,12.48,12.72,12.58,11.05
Central African Republic,CAIT,Agriculture,CH4,MtCO₂e,12.13,10.93,10.5,11,10.2,12.38
Ukraine,CAIT,Agriculture,CH4,MtCO₂e,11.07,11.5,12.66,13.35,13,13.16
Afghanistan,CAIT,Agriculture,CH4,MtCO₂e,10.66,10.88,11.48,11.29,11.38,11.54
Belarus,CAIT,Agriculture,CH4,MtCO₂e,9.25,9.37,9.37,9.39,9.26,9.06
Mozambique,CAIT,Agriculture,CH4,MtCO₂e,9.25,10.19,10.92,10.81,10.46,9.88
South Korea,CAIT,Agriculture,CH4,MtCO₂e,9.21,9.24,9.14,9.4,9.65,9.38
Ecuador,CAIT,Agriculture,CH4,MtCO₂e,8.57,8.61,9.28,10.38,10.36,10.39
